departure_city	arrival_city	countflight
Норильск	Москва	683
Иркутск	Санкт-Петербург	677
Магнитогорск	Москва	674
Якутск	Мирный	659
Казань	Санкт-Петербург	652
Москва	Воронеж	651
Петрозаводск	Москва	651
Москва	Курск	633
Нижний Новгород	Москва	624
Мирный	Москва	614
Москва	Абакан	605
Ханты-Мансийск	Москва	603
Сыктывкар	Москва	602
Санкт-Петербург	Чебоксары	589
Белгород	Москва	577
Ставрополь	Москва	565
Петропавловск-Камчатский	Москва	542
Волгоград	Волгоград	533
Магнитогорск	Новосибирск	530
Санкт-Петербург	Тюмень	527
Иркутск	Москва	526
Сочи	Самара	524
Омск	Воркута	504
Москва	Салехард	495
Новосибирск	Новосибирск	492
Советский	Москва	483
Ростов-на-Дону	Волгоград	480
Салехард	Новосибирск	473
Киров	Киров	471
Советский	Советский	469
Нальчик	Москва	467
Тюмень	Санкт-Петербург	464
Санкт-Петербург	Нижний Новгород	461
Москва	Надым	455
Воронеж	Москва	446
Норильск	Екатеринбург	438
Новосибирск	Пермь	436
Братск	Москва	428
Москва	Новокузнецк	422
Саранск	Москва	420
Элиста	Москва	416
Сыктывкар	Екатеринбург	414
Оренбург	Москва	404
Курск	Москва	404
Екатеринбург	Пермь	391
Москва	Ижевск	386
Пермь	Новосибирск	372
Москва	Грозный	372
Сочи	Сочи	366
Магнитогорск	Казань	359
Абакан	Москва	358
Новосибирск	Санкт-Петербург	356
Сыктывкар	Сыктывкар	356
Уфа	Оренбург	353
Ноябрьск	Москва	351
Нарьян-Мар	Москва	345
Киров	Казань	345
Москва	Пенза	343
Новосибирск	Новокузнецк	340
Санкт-Петербург	Новосибирск	334
Благовещенск	Хабаровск	333
Санкт-Петербург	Якутск	327
Урай	Москва	327
Казань	Казань	324
Хабаровск	Хабаровск	316
Санкт-Петербург	Нижневартовск	314
Москва	Сургут	309
Салехард	Москва	309
Москва	Нефтеюганск	309
Махачкала	Минеральные Воды	304
Москва	Улан-Удэ	302
Киров	Москва	291
Якутск	Санкт-Петербург	289
Комсомольск-на-Амуре	Екатеринбург	287
Ульяновск	Краснодар	286
Екатеринбург	Екатеринбург	285
Санкт-Петербург	Сочи	280
Магнитогорск	Екатеринбург	279
Пермь	Екатеринбург	279
Нижневартовск	Санкт-Петербург	276
Казань	Киров	272
Урай	Урай	270
Тамбов	Москва	265
Махачкала	Махачкала	264
Екатеринбург	Магнитогорск	247
Бугульма	Москва	247
Новокузнецк	Москва	245
Элиста	Элиста	244
Сургут	Москва	242
Санкт-Петербург	Оренбург	242
Анапа	Белгород	240
Екатеринбург	Сургут	239
Пенза	Москва	239
Ижевск	Москва	238
Красноярск	Сочи	232
Белгород	Белгород	229
Казань	Иркутск	227
Брянск	Брянск	226
Киров	Санкт-Петербург	225
Волгоград	Челябинск	225
Москва	Нерюнгри	215
Грозный	Москва	212
Чита	Новый Уренгой	211
Краснодар	Ульяновск	211
Москва	Нижнекамск	206
Киров	Новосибирск	205
Ставрополь	Челябинск	201
Оренбург	Санкт-Петербург	198
Сочи	Красноярск	197
Улан-Удэ	Москва	196
Ростов-на-Дону	Санкт-Петербург	192
Ульяновск	Пермь	184
Калуга	Санкт-Петербург	183
Санкт-Петербург	Воронеж	183
Москва	Тамбов	181
Воронеж	Санкт-Петербург	181
Белгород	Анапа	179
Хабаровск	Владивосток	177
Сургут	Екатеринбург	176
Курган	Москва	175
Санкт-Петербург	Ростов-на-Дону	175
Новосибирск	Красноярск	175
Уфа	Санкт-Петербург	172
Ростов-на-Дону	Ростов-на-Дону	168
Нижний Новгород	Нижний Новгород	168
Красноярск	Новосибирск	167
Нижнекамск	Чебоксары	167
Улан-Удэ	Надым	166
Оренбург	Уфа	165
Екатеринбург	Санкт-Петербург	160
Иркутск	Владивосток	158
Архангельск	Тюмень	157
Москва	Усинск	156
Москва	Якутск	156
Курган	Курган	155
Архангельск	Томск	154
Москва	Чита	153
Москва	Анадырь	153
Нефтеюганск	Москва	152
Якутск	Москва	151
Москва	Благовещенск	150
Урай	Тюмень	150
Красноярск	Курган	147
Воркута	Москва	147
Тюмень	Петрозаводск	144
Бугульма	Оренбург	143
Новосибирск	Сургут	140
Мирный	Новосибирск	139
Нижнекамск	Сыктывкар	139
Волгоград	Ростов-на-Дону	138
Екатеринбург	Норильск	136
Хабаровск	Усть-Илимск	134
Санкт-Петербург	Элиста	133
Нерюнгри	Москва	133
Пермь	Минеральные Воды	132
Екатеринбург	Усть-Илимск	130
Бугульма	Бугульма	128
Советский	Красноярск	127
Краснодар	Калининград	125
Белгород	Брянск	124
Калининград	Краснодар	124
Воркута	Воркута	123
Владивосток	Иркутск	122
Санкт-Петербург	Калуга	121
Ростов-на-Дону	Сочи	121
Брянск	Белгород	121
Оренбург	Оренбург	120
Тамбов	Санкт-Петербург	118
Нарьян-Мар	Архангельск	118
Сочи	Новокузнецк	118
Сургут	Новосибирск	117
Архангельск	Нарьян-Мар	116
Ханты-Мансийск	Екатеринбург	116
Элиста	Уфа	113
Воркута	Омск	113
Нарьян-Мар	Нарьян-Мар	112
Астрахань	Барнаул	111
Новокузнецк	Сочи	109
Чебоксары	Нижнекамск	107
Петрозаводск	Петрозаводск	103
Мирный	Мирный	103
Нижний Новгород	Сочи	102
Челябинск	Иркутск	102
Сочи	Нижний Новгород	102
Чебоксары	Чебоксары	101
Ханты-Мансийск	Ханты-Мансийск	99
Советский	Сургут	98
Абакан	Томск	98
Москва	Нягань	97
Ноябрьск	Санкт-Петербург	96
Санкт-Петербург	Ноябрьск	95
Анапа	Санкт-Петербург	94
Сочи	Ростов-на-Дону	93
Курган	Красноярск	92
Новосибирск	Салехард	92
Новый Уренгой	Новый Уренгой	91
Нижний Новгород	Пермь	91
Мурманск	Брянск	91
Оренбург	Бугульма	90
Хабаровск	Благовещенск	88
Нижнекамск	Москва	87
Минеральные Воды	Казань	80
Екатеринбург	Ханты-Мансийск	80
Санкт-Петербург	Челябинск	79
Санкт-Петербург	Анапа	79
Советский	Нижневартовск	78
Норильск	Норильск	75
Пермь	Нижний Новгород	74
Когалым	Новый Уренгой	73
Надым	Москва	72
Санкт-Петербург	Тамбов	72
Москва	Горно-Алтайск	71
Пермь	Челябинск	71
Благовещенск	Москва	70
Владивосток	Санкт-Петербург	69
Архангельск	Пермь	65
Мирный	Якутск	64
Сочи	Санкт-Петербург	63
Санкт-Петербург	Калининград	61
Чита	Москва	61
Петрозаводск	Тюмень	60
Абакан	Новосибирск	59
Новый Уренгой	Чита	59
Москва	Магадан	58
Ростов-на-Дону	Казань	58
Норильск	Ханты-Мансийск	57
Челябинск	Пермь	54
Брянск	Анапа	53
Екатеринбург	Комсомольск-на-Амуре	51
Ханты-Мансийск	Норильск	50
Санкт-Петербург	Красноярск	50
Архангельск	Ханты-Мансийск	50
Москва	Когалым	49
Пермь	Сургут	48
Сургут	Пермь	47
Мирный	Нерюнгри	47
Челябинск	Санкт-Петербург	46
Челябинск	Челябинск	44
Нижневартовск	Советский	44
Краснодар	Новокузнецк	44
Нижний Новгород	Нальчик	43
Санкт-Петербург	Екатеринбург	42
Анапа	Брянск	42
Сыктывкар	Норильск	40
Новокузнецк	Череповец	40
Новосибирск	Уфа	39
Хабаровск	Екатеринбург	38
Санкт-Петербург	Череповец	37
Череповец	Санкт-Петербург	36
Сочи	Уфа	36
Надым	Улан-Удэ	36
Уфа	Сочи	35
Санкт-Петербург	Уфа	35
Нальчик	Нижний Новгород	34
Самара	Краснодар	33
Сочи	Тюмень	33
Новосибирск	Самара	33
Самара	Новосибирск	33
Казань	Магнитогорск	33
Надым	Надым	33
Благовещенск	Санкт-Петербург	32
Красноярск	Санкт-Петербург	32
Томск	Абакан	32
Новосибирск	Хабаровск	32
Новый Уренгой	Ханты-Мансийск	32
Владикавказ	Брянск	31
Екатеринбург	Хабаровск	31
Минеральные Воды	Екатеринбург	31
Норильск	Сыктывкар	31
Москва	Ухта	30
Санкт-Петербург	Абакан	29
Санкт-Петербург	Нижнекамск	29
Усть-Илимск	Екатеринбург	29
Краснодар	Самара	29
Новосибирск	Магнитогорск	29
Хабаровск	Новосибирск	28
Екатеринбург	Анапа	28
Санкт-Петербург	Мурманск	28
Брянск	Мурманск	28
Ханты-Мансийск	Сыктывкар	27
Уфа	Новосибирск	26
Челябинск	Ставрополь	26
Минеральные Воды	Краснодар	26
Санкт-Петербург	Благовещенск	26
Усть-Илимск	Хабаровск	25
Уфа	Уфа	25
Санкт-Петербург	Владивосток	25
Анапа	Екатеринбург	25
Тюмень	Сочи	24
Калининград	Сочи	24
Томск	Архангельск	24
Ханты-Мансийск	Пермь	24
Новосибирск	Тюмень	24
Новосибирск	Абакан	24
Новокузнецк	Красноярск	23
Екатеринбург	Минеральные Воды	23
Новый Уренгой	Ноябрьск	23
Барнаул	Астрахань	23
Минеральные Воды	Самара	23
Магнитогорск	Санкт-Петербург	22
Томск	Томск	22
Ульяновск	Саратов	21
Братск	Брянск	21
Сочи	Калининград	21
Самара	Красноярск	21
Усть-Илимск	Усть-Илимск	21
Сыктывкар	Нижнекамск	21
Владивосток	Сочи	20
Горно-Алтайск	Москва	20
Барнаул	Барнаул	20
Ноябрьск	Новый Уренгой	20
Уфа	Чита	20
Элиста	Калининград	20
Усинск	Москва	20
Чита	Уфа	19
Сыктывкар	Ханты-Мансийск	19
Екатеринбург	Казань	19
Санкт-Петербург	Братск	18
Нерюнгри	Мирный	18
Ханты-Мансийск	Архангельск	18
Томск	Новосибирск	18
Пермь	Архангельск	18
Новосибирск	Чебоксары	18
Новосибирск	Томск	17
Чебоксары	Екатеринбург	17
Брянск	Братск	17
Казань	Новосибирск	17
Нижнекамск	Санкт-Петербург	17
Магадан	Москва	16
Красноярск	Новокузнецк	16
Минеральные Воды	Хабаровск	16
Владивосток	Оренбург	16
Казань	Минеральные Воды	16
Когалым	Москва	16
Омск	Екатеринбург	16
Екатеринбург	Калининград	16
Элиста	Санкт-Петербург	16
Южно-Сахалинск	Хабаровск	16
Тюмень	Новосибирск	16
Екатеринбург	Чебоксары	15
Брянск	Владикавказ	15
Магнитогорск	Магнитогорск	15
Иркутск	Иркутск	15
Екатеринбург	Омск	15
Новосибирск	Екатеринбург	15
Уфа	Новый Уренгой	15
Тюмень	Архангельск	15
Иркутск	Челябинск	15
Новосибирск	Казань	14
Нягань	Москва	14
Краснодар	Челябинск	14
Анапа	Уфа	14
Южно-Сахалинск	Сочи	13
Калининград	Элиста	13
Новый Уренгой	Уфа	13
Комсомольск-на-Амуре	Сургут	13
Анадырь	Москва	13
Чебоксары	Новосибирск	13
Ханты-Мансийск	Новый Уренгой	12
Сыктывкар	Ростов-на-Дону	12
Пермь	Ханты-Мансийск	12
Новосибирск	Мирный	12
Калининград	Санкт-Петербург	12
Омск	Нижнекамск	12
Тюмень	Тюмень	12
Минеральные Воды	Магадан	12
Ростов-на-Дону	Сыктывкар	12
Брянск	Калининград	12
Новый Уренгой	Когалым	12
Красноярск	Самара	12
Ухта	Уфа	11
Санкт-Петербург	Магнитогорск	11
Хабаровск	Южно-Сахалинск	11
Екатеринбург	Ростов-на-Дону	11
Иркутск	Хабаровск	11
Санкт-Петербург	Ижевск	11
Анадырь	Хабаровск	10
Благовещенск	Южно-Сахалинск	10
Нижнекамск	Омск	10
Ухта	Тюмень	10
Новокузнецк	Санкт-Петербург	10
Уфа	Ухта	10
Краснодар	Красноярск	10
Владивосток	Владивосток	10
Саратов	Ульяновск	10
Брянск	Сочи	10
Анадырь	Благовещенск	8
Челябинск	Краснодар	8
Ноябрьск	Ноябрьск	8
Ханты-Мансийск	Ноябрьск	8
Омск	Чебоксары	8
Чебоксары	Омск	8
Казань	Ростов-на-Дону	8
Ухта	Москва	8
Хабаровск	Иркутск	8
Самара	Калининград	8
Калининград	Брянск	8
Нарьян-Мар	Томск	7
Уфа	Ростов-на-Дону	7
Краснодар	Минеральные Воды	7
Мурманск	Санкт-Петербург	7
Благовещенск	Анадырь	7
Новокузнецк	Новокузнецк	7
Хабаровск	Анадырь	6
Томск	Тюмень	6
Сочи	Белгород	6
Екатеринбург	Новосибирск	6
Ростов-на-Дону	Екатеринбург	6
Магадан	Сыктывкар	6
Тюмень	Томск	6
Тюмень	Уфа	6
Белгород	Сочи	6
Нарьян-Мар	Тюмень	6
Магадан	Минеральные Воды	6
Южно-Сахалинск	Благовещенск	5
Уфа	Анапа	5
Элиста	Советский	5
Южно-Сахалинск	Санкт-Петербург	5
Сочи	Владивосток	5
Нерюнгри	Нерюнгри	5
Волгоград	Томск	5
Самара	Минеральные Воды	5
Санкт-Петербург	Советский	5
Тюмень	Нарьян-Мар	5
Ростов-на-Дону	Нижнекамск	5
Сыктывкар	Магадан	5
Новосибирск	Нерюнгри	5
Уфа	Тюмень	5
Сочи	Брянск	5
Тюмень	Ухта	5
Советский	Санкт-Петербург	5
Советский	Элиста	5
Томск	Нарьян-Мар	5
Калининград	Екатеринбург	5
Ноябрьск	Ханты-Мансийск	4
Советский	Уфа	4
Омск	Омск	4
Череповец	Новокузнецк	4
Сыктывкар	Минеральные Воды	4
Красноярск	Краснодар	4
Санкт-Петербург	Новый Уренгой	4
Братск	Санкт-Петербург	4
Анадырь	Южно-Сахалинск	4
Петрозаводск	Санкт-Петербург	4
Абакан	Санкт-Петербург	4
Екатеринбург	Уфа	4
Ростов-на-Дону	Уфа	3
Минеральные Воды	Сыктывкар	3
Томск	Волгоград	3
Казань	Екатеринбург	3
Екатеринбург	Южно-Сахалинск	3
Сургут	Комсомольск-на-Амуре	3
Стрежевой	Москва	3
Санкт-Петербург	Салехард	3
Салехард	Санкт-Петербург	3
Хабаровск	Ростов-на-Дону	3
Санкт-Петербург	Петрозаводск	2
Краснодар	Санкт-Петербург	2
Челябинск	Стрежевой	2
Сочи	Южно-Сахалинск	2
Анадырь	Санкт-Петербург	2
Стрежевой	Челябинск	2
Минеральные Воды	Минеральные Воды	2
Комсомольск-на-Амуре	Москва	2
Екатеринбург	Мирный	2
Уфа	Владивосток	2
Брянск	Махачкала	2
Новокузнецк	Краснодар	2
Москва	Комсомольск-на-Амуре	2
Волгоград	Екатеринбург	2
Екатеринбург	Тюмень	2
Краснодар	Казань	2
Южно-Сахалинск	Анадырь	2
Владивосток	Уфа	2
Ростов-на-Дону	Хабаровск	2
Якутск	Екатеринбург	2
Нерюнгри	Новосибирск	2
Брянск	Владивосток	1
Казань	Краснодар	1
Санкт-Петербург	Новокузнецк	1
Сочи	Когалым	1
Екатеринбург	Якутск	1
Пермь	Краснодар	1
Санкт-Петербург	Краснодар	1
Когалым	Сочи	1
Тюмень	Екатеринбург	1
Казань	Сочи	1
Екатеринбург	Волгоград	1
Череповец	Череповец	1
Уфа	Екатеринбург	1
Сочи	Казань	1
Белгород	Санкт-Петербург	1
Санкт-Петербург	Южно-Сахалинск	1
Санкт-Петербург	Анадырь	1
Владивосток	Брянск	1
Ижевск	Санкт-Петербург	1
Новый Уренгой	Санкт-Петербург	1
Южно-Сахалинск	Южно-Сахалинск	1
Оренбург	Владивосток	1
Нижнекамск	Ростов-на-Дону	1
Мирный	Екатеринбург	1
Хабаровск	Минеральные Воды	1
Калининград	Самара	1
Махачкала	Брянск	1
Петропавловск-Камчатский	Санкт-Петербург	1
